,State,variable,value
28,Nevada,"Genomic Sequencing Incidence, per 100K persons",813.5731968710701
29,New Hampshire,"Genomic Sequencing Incidence, per 100K persons",483.5387457628618
30,New Jersey,"Genomic Sequencing Incidence, per 100K persons",412.840741223009
31,New Mexico,"Genomic Sequencing Incidence, per 100K persons",891.5601013253618
32,New York,"Genomic Sequencing Incidence, per 100K persons",491.24436239526455
33,North Carolina,"Genomic Sequencing Incidence, per 100K persons",446.8769080532608
34,North Dakota,"Genomic Sequencing Incidence, per 100K persons",1161.8559698556858
35,Ohio,"Genomic Sequencing Incidence, per 100K persons",227.25635663361862
36,Oklahoma,"Genomic Sequencing Incidence, per 100K persons",88.68703873292927
37,Oregon,"Genomic Sequencing Incidence, per 100K persons",631.7302091553395
38,Pennsylvania,"Genomic Sequencing Incidence, per 100K persons",286.7793232795036
39,Rhode Island,"Genomic Sequencing Incidence, per 100K persons",944.6569849098897
40,South Carolina,"Genomic Sequencing Incidence, per 100K persons",303.788634705624
41,South Dakota,"Genomic Sequencing Incidence, per 100K persons",327.12372553798025
42,Tennessee,"Genomic Sequencing Incidence, per 100K persons",361.5061129894934
43,Texas,"Genomic Sequencing Incidence, per 100K persons",488.54699062028936
44,Utah,"Genomic Sequencing Incidence, per 100K persons",1485.9360888043896
45,Vermont,"Genomic Sequencing Incidence, per 100K persons",1736.8700892065929
46,Virginia,"Genomic Sequencing Incidence, per 100K persons",280.2169838400927
47,Washington,"Genomic Sequencing Incidence, per 100K persons",917.4064781382111
48,West Virginia,"Genomic Sequencing Incidence, per 100K persons",1013.3833047592467
49,Wisconsin,"Genomic Sequencing Incidence, per 100K persons",646.8832909497231
50,Wyoming,"Genomic Sequencing Incidence, per 100K persons",4091.8272501155375
51,Alabama,Number of COVID-19 cases per 100K persons,17436.630385703713
52,Alaska,Number of COVID-19 cases per 100K persons,20805.13887269167
53,Arizona,Number of COVID-19 cases per 100K persons,18352.676637971254
54,Arkansas,Number of COVID-19 cases per 100K persons,17865.204515856094
55,California,Number of COVID-19 cases per 100K persons,13036.09003149755
56,Colorado,Number of COVID-19 cases per 100K persons,14995.600084557034
57,Connecticut,Number of COVID-19 cases per 100K persons,12299.58588336718
58,Delaware,Number of COVID-19 cases per 100K persons,16622.500054282023
59,District of Columbia,Number of COVID-19 cases per 100K persons,9780.270622317445
60,Florida,Number of COVID-19 cases per 100K persons,17625.168872722494
61,Georgia,Number of COVID-19 cases per 100K persons,15958.458002894633
62,Hawaii,Number of COVID-19 cases per 100K persons,6281.560390034151
63,Idaho,Number of COVID-19 cases per 100K persons,17768.246410915923
64,Illinois,Number of COVID-19 cases per 100K persons,14792.654939769629
65,Indiana,Number of COVID-19 cases per 100K persons,17198.445638130284
66,Iowa,Number of COVID-19 cases per 100K persons,17308.67878376944
67,Kansas,Number of COVID-19 cases per 100K persons,16723.138033422576
68,Kentucky,Number of COVID-19 cases per 100K persons,18147.650994695643
69,Louisiana,Number of COVID-19 cases per 100K persons,16651.044275316322
70,Maine,Number of COVID-19 cases per 100K persons,9712.837080582543
71,Maryland,Number of COVID-19 cases per 100K persons,9808.152556515131
72,Massachusetts,Number of COVID-19 cases per 100K persons,14047.63936565264
73,Michigan,Number of COVID-19 cases per 100K persons,15682.18617305169
74,Minnesota,Number of COVID-19 cases per 100K persons,17051.300626837958
75,Mississippi,Number of COVID-19 cases per 100K persons,17381.877965397973
76,Missouri,Number of COVID-19 cases per 100K persons,15456.43383805178
77,Montana,Number of COVID-19 cases per 100K persons,18235.629127228058
78,Nebraska,Number of COVID-19 cases per 100K persons,16683.32237926509
79,Nevada,Number of COVID-19 cases per 100K persons,15304.054321261063
80,New Hampshire,Number of COVID-19 cases per 100K persons,12861.142770362221
81,New Jersey,Number of COVID-19 cases per 100K persons,14631.420258359412
82,New Mexico,Number of COVID-19 cases per 100K persons,15737.978112347453
83,New York,Number of COVID-19 cases per 100K persons,14566.075923146662
84,North Carolina,Number of COVID-19 cases per 100K persons,15084.036203173846
85,North Dakota,Number of COVID-19 cases per 100K persons,21990.798300698483
86,Ohio,Number of COVID-19 cases per 100K persons,15239.487051648828
87,Oklahoma,Number of COVID-19 cases per 100K persons,17246.77593322376
88,Oregon,Number of COVID-19 cases per 100K persons,9549.401259403829
89,Pennsylvania,Number of COVID-19 cases per 100K persons,14349.444759374908
90,Rhode Island,Number of COVID-19 cases per 100K persons,19036.427176385467
91,South Carolina,Number of COVID-19 cases per 100K persons,18274.071438420007
92,South Dakota,Number of COVID-19 cases per 100K persons,19410.701230397797
93,Tennessee,Number of COVID-19 cases per 100K persons,19735.244113376495
94,Texas,Number of COVID-19 cases per 100K persons,15297.835383056385
95,Utah,Number of COVID-19 cases per 100K persons,19318.592707296975
96,Vermont,Number of COVID-19 cases per 100K persons,8917.306270647086
97,Virginia,Number of COVID-19 cases per 100K persons,11670.647599670569
98,Washington,Number of COVID-19 cases per 100K persons,10489.03795336026
99,West Virginia,Number of COVID-19 cases per 100K persons,17024.396510860366
100,Wisconsin,Number of COVID-19 cases per 100K persons,17615.584783733502
101,Wyoming,Number of COVID-19 cases per 100K persons,19535.18642565735
102,Alabama,Number of COVID-19 deaths per 100K persons,332.7624644758423
103,Alaska,Number of COVID-19 deaths per 100K persons,120.14569360407248
104,Arizona,Number of COVID-19 deaths per 100K persons,321.2093848469375
105,Arkansas,Number of COVID-19 deaths per 100K persons,293.5804169120636
106,California,Number of COVID-19 deaths per 100K persons,190.29480083762576
107,Colorado,Number of COVID-19 deaths per 100K persons,169.02628080379748
108,Connecticut,Number of COVID-19 deaths per 100K persons,251.12905911973274
109,Delaware,Number of COVID-19 deaths per 100K persons,229.3286295804982
110,District of Columbia,Number of COVID-19 deaths per 100K persons,170.68709027624544
111,Florida,Number of COVID-19 deaths per 100K persons,291.2111064552515
112,Georgia,Number of COVID-19 deaths per 100K persons,293.00891917134646
113,Hawaii,Number of COVID-19 deaths per 100K persons,74.48128851221162
114,Idaho,Number of COVID-19 deaths per 100K persons,229.67629836370602
115,Illinois,Number of COVID-19 deaths per 100K persons,229.44679728876986
116,Indiana,Number of COVID-19 deaths per 100K persons,269.1919966263581
117,Iowa,Number of COVID-19 deaths per 100K persons,239.21587886488103
118,Kansas,Number of COVID-19 deaths per 100K persons,234.7239657840189
119,Kentucky,Number of COVID-19 deaths per 100K persons,258.3026325742402
120,Louisiana,Number of COVID-19 deaths per 100K persons,319.25043422951785
121,Maine,Number of COVID-19 deaths per 100K persons,102.13657460677045
122,Maryland,Number of COVID-19 deaths per 100K persons,186.25724384291968
123,Massachusetts,Number of COVID-19 deaths per 100K persons,284.46212911370066
124,Michigan,Number of COVID-19 deaths per 100K persons,269.2499886203514
125,Minnesota,Number of COVID-19 deaths per 100K persons,178.1443792828566
126,Mississippi,Number of COVID-19 deaths per 100K persons,345.7524284035319
127,Missouri,Number of COVID-19 deaths per 100K persons,256.41268388293906
128,Montana,Number of COVID-19 deaths per 100K persons,265.5546194360377
129,Nebraska,Number of COVID-19 deaths per 100K persons,169.13150479871123
130,Nevada,Number of COVID-19 deaths per 100K persons,269.83988884758463
131,New Hampshire,Number of COVID-19 deaths per 100K persons,131.2978359816522
132,New Jersey,Number of COVID-19 deaths per 100K persons,320.7715759744604
133,New Mexico,Number of COVID-19 deaths per 100K persons,261.1399675865742
134,New York,Number of COVID-19 deaths per 100K persons,297.6531465813307
135,North Carolina,Number of COVID-19 deaths per 100K persons,182.74936871726814
136,North Dakota,Number of COVID-19 deaths per 100K persons,261.6840135933596
137,Ohio,Number of COVID-19 deaths per 100K persons,234.14291289524343
138,Oklahoma,Number of COVID-19 deaths per 100K persons,306.1059643999017
139,Oregon,Number of COVID-19 deaths per 100K persons,128.4029710457385
140,Pennsylvania,Number of COVID-19 deaths per 100K persons,270.2884190438711
141,Rhode Island,Number of COVID-19 deaths per 100K persons,279.6706752481521
142,South Carolina,Number of COVID-19 deaths per 100K persons,282.74274029740013
143,South Dakota,Number of COVID-19 deaths per 100K persons,271.80966522525176
144,Tennessee,Number of COVID-19 deaths per 100K persons,261.7573681575064
145,Texas,Number of COVID-19 deaths per 100K persons,259.93799353316837
146,Utah,Number of COVID-19 deaths per 100K persons,115.14960749484753
147,Vermont,Number of COVID-19 deaths per 100K persons,68.97663895359884
148,Virginia,Number of COVID-19 deaths per 100K persons,174.8714586181574
149,Washington,Number of COVID-19 deaths per 100K persons,126.78501261546705
150,West Virginia,Number of COVID-19 deaths per 100K persons,281.5876559945776
151,Wisconsin,Number of COVID-19 deaths per 100K persons,178.65104527890617
152,Wyoming,Number of COVID-19 deaths per 100K persons,254.78721286675423
153,Alabama,% of cases sequenced and shared,1.6
154,Alaska,% of cases sequenced and shared,5.6
155,Arizona,% of cases sequenced and shared,3.8
156,Arkansas,% of cases sequenced and shared,2.0
157,California,% of cases sequenced and shared,5.7
158,Colorado,% of cases sequenced and shared,12.0
159,Connecticut,% of cases sequenced and shared,4.8
160,Delaware,% of cases sequenced and shared,4.2
161,District of Columbia,% of cases sequenced and shared,8.0
162,Florida,% of cases sequenced and shared,2.8
163,Georgia,% of cases sequenced and shared,2.1
164,Hawaii,% of cases sequenced and shared,7.6
165,Idaho,% of cases sequenced and shared,4.2
166,Illinois,% of cases sequenced and shared,2.5
167,Indiana,% of cases sequenced and shared,2.4
168,Iowa,% of cases sequenced and shared,1.9
169,Kansas,% of cases sequenced and shared,2.8
170,Kentucky,% of cases sequenced and shared,1.9
171,Louisiana,% of cases sequenced and shared,2.4
172,Maine,% of cases sequenced and shared,8.3
173,Maryland,% of cases sequenced and shared,6.2
174,Massachusetts,% of cases sequenced and shared,8.4
175,Michigan,% of cases sequenced and shared,3.4
176,Minnesota,% of cases sequenced and shared,8.4
177,Mississippi,% of cases sequenced and shared,1.6
178,Missouri,% of cases sequenced and shared,1.8
179,Montana,% of cases sequenced and shared,4.4
180,Nebraska,% of cases sequenced and shared,3.9
181,Nevada,% of cases sequenced and shared,5.3
182,New Hampshire,% of cases sequenced and shared,3.8
183,New Jersey,% of cases sequenced and shared,2.8
184,New Mexico,% of cases sequenced and shared,5.7
185,New York,% of cases sequenced and shared,3.4
186,North Carolina,% of cases sequenced and shared,3.0
187,North Dakota,% of cases sequenced and shared,5.3
188,Ohio,% of cases sequenced and shared,1.5
189,Oklahoma,% of cases sequenced and shared,0.5
190,Oregon,% of cases sequenced and shared,6.6
191,Pennsylvania,% of cases sequenced and shared,2.0
192,Rhode Island,% of cases sequenced and shared,5.0
193,South Carolina,% of cases sequenced and shared,1.7
194,South Dakota,% of cases sequenced and shared,1.7
195,Tennessee,% of cases sequenced and shared,1.8
196,Texas,% of cases sequenced and shared,3.2
197,Utah,% of cases sequenced and shared,7.7
198,Vermont,% of cases sequenced and shared,19.5
199,Virginia,% of cases sequenced and shared,2.4
200,Washington,% of cases sequenced and shared,8.7
201,West Virginia,% of cases sequenced and shared,6.0
202,Wisconsin,% of cases sequenced and shared,3.7
203,Wyoming,% of cases sequenced and shared,20.9
