N,University ,City ,State,Country,Latitude,Longitdue,Dorm Level? ,Dashboard,News Article,Publication ,protocol,
252,Queen's University Belfast,Belfast,Northern Ireland,UK,54.584359,-5.933642,,,https://www.qub.ac.uk/research-centres/GIS/News/Anintegratedsystemforall-islandSARS-CoV-2wastewatersurveillanceandreporting.html,,,
253,Oregon State University-Cascades,Bend,Oregon,USA,44.042767,-121.333459,,https://trace.oregonstate.edu/testing-results,,,,
254,New York University Abu Dhabi,Abu Dhabi,,United Arab Emirates,24.524149,54.434051,,,https://nyuad.nyu.edu/en/research/impact/our-research/2021/virus-free-waterwaste-reality-or-myth.html,,,
255,University of Mumbai,Mumbai,Maharashtra,India,18.929251,72.830447,,,,,,
256,Universidad Nacional de Salta,Salta,Salta Capital,Argentina,-24.7859,-65.4117,,,https://www.argentina.gob.ar/sites/default/files/nomina_proyectos_presentados_covid_federal.docx_3.pdf,,,
257,Fleming College,Peterborough,Ontario,Canada,44.266458,-78.374506,,,https://flemingcollege.ca/news/fleming-college-and-quantwave-technologies-collaborate-to-develop-intelligent-wastewater-sensing-solution-to-predict-covid-19-outbreaks/,,,
258,Laboratorio Kudam,Alicante,,Spain,37.880848,-0.808401,,,https://www.kudam.com/en/analysis-of-coronavirus-in-water/,,,
259,Indian Institute of Technology Gandhinagar,Ahmedabad,Gujarat,India,23.211791,72.68304,,,https://www.hindustantimes.com/cities/scientists-find-evidence-of-covid-19-genetic-material-in-ahmedabad-sewage/story-p8Gs9I1hQPxshtTnPNylHJ.html,,,
260,Colorado Mesa University,Grand Junction,Colorado,USA,39.080741,-108.554557,,,https://www.nytimes.com/2021/05/17/health/coronavirus-broad-colorado-mesa-sabeti.html,,,
261,CSIR-IICT,Secunderabad,Telangana,India,17.422266,78.5394,,,https://nindia.natureasia.com/en/nindia/article/10.1038/nindia.2021.75,,,
262,New York University,New York City,New York,USA,40.729505,-73.996552,,,https://engineering.nyu.edu/news/researchers-tracking-covid-19-wastewater-join-forces-framework-translating-data-public-health,,,
263,Chulalongkorn University ,Bangkok ,Pathum Wan District ,Thailand ,13.7386,100.5316,,,,https://www.ijidonline.com/article/S1201-9712(21)00406-9/fulltext ,,
264,Boise State University,Boise,Idaho,USA,43.60615417,-116.2057575,No,,https://www.boisestate.edu/biology/2021/07/26/hampikian-lab-and-wastewater-testing-for-covid-19/ ,,,
265,University of Pennsylvania ,Philadelphia,Pennsylvania,USA,39.9522,-75.1932,Yes,,https://www.thedp.com/article/penn-covid-19-wastewater-monitoring ,,,
266,Aristotle University of Thessaloniki,Thessaloniki,,Greece,40.63267371,22.95625023,,,https://www.news247.gr/koinonia/koronoios-anichneysimos-sta-epipeda-aprilioy-sta-lymata-tis-thessalonikis.7679374.html,,,
267,University College Cork,Cork,Munster,Republic of Ireland,51.893486,-8.49208023,,,https://www.irishexaminer.com/news/arid-40715555.html,,,
268,NUI Galway,Galway,Connacht,Republic of Ireland,53.27915084,-9.061735227,,,https://www.irishexaminer.com/news/arid-40715555.html,,,
269,Trinity College,Dublin,Leinster,Ireland,53.34378786,-6.254576261,,,https://www.irishexaminer.com/news/arid-40715555.html,,,
270,Fleming College,Peterborough,Ontario,Canada,44.26856467,-78.37351213,,,https://www.peterboroughpublichealth.ca/may-12-board-of-health-summary/,,,
271,Bauhaus University Weimar,Weimar,,Germany,50.97458279,11.32901502,,,https://www.tuhh.de/idac/research/comoth.html,,,
272,Hamm-Lippstadt University of Applied Sciences,Hamm,,Germany,51.6823605,7.840299419,,,https://www.tuhh.de/idac/research/comoth.html,,,
273,Radford University Carilion,Roanoke,Virgina,USA,37.26680838,-79.93978149,,,https://www.radford.edu/content/radfordcore/home/news/releases/2021/november/wastewater-epidemiology.html,,,
274,University of Wisconsin - Eau Claire,Eau Claire,Wisconsin,USA,44.79345269,-91.5077543,Yes,,https://www.weau.com/2021/12/08/covid-19-wastewater-screening-project-underway-uwec/?utm_campaign=snd-autopilot,,,
275,University of Nottingham,Nottingham,England,UK,52.93986313,-1.193464904,,,https://www.nottingham.ac.uk/vision/covid-detectives-track-spread-of-virus?utm_source=twitter&utm_medium=social&utm_campaign=researchreputation,,,
276,Universite Cote d’Azur,Nice,,France,43.71550989,7.266362804,,,https://utilityweek.co.uk/covid-in-wastewater-early-warning-system-upgraded-to-detect-omicron-variant/?utm_source=Innovate&utm_medium=CPC&utm_id=UWI&utm_content=Twitter,,,
